t=2024-10-30T20:19:56+0000 lvl=info msg="no configuration paths supplied"
t=2024-10-30T20:19:56+0000 lvl=info msg="using configuration at default config path" path=/home/rcpaffenroth/.config/ngrok/ngrok.yml
t=2024-10-30T20:19:56+0000 lvl=info msg="open config file" path=/home/rcpaffenroth/.config/ngrok/ngrok.yml err=nil
t=2024-10-30T20:19:56+0000 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2024-10-30T20:19:56+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4042 allow_hosts=[]
t=2024-10-30T20:19:56+0000 lvl=info msg="client session established" obj=tunnels.session
t=2024-10-30T20:19:56+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2024-10-30T20:19:56+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:31415 url=https://947a-130-215-181-125.ngrok-free.app
t=2024-10-30T20:20:40+0000 lvl=info msg="join connections" obj=join id=2348a18f5953 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=e738bd8f1842 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=8544a076996b l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=5ff0f6be62fb l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=f8c4fbdb0a81 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=7eb5988b4687 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=fe768d287d6b l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=b9da3a503a8f l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=728464383ce2 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=c38dcdbed71b l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=b5cf3a1b283b l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=c2e2f8527cdd l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=ba27d71fdeca l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=9699962da966 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=d8db53d47438 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=262ca1a3af73 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=4f44a54b3a42 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=8327c1ca5fac l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=92db413daf45 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=5f1ee58227c5 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=1acc0de5a19a l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=b81ff7c4aec9 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=1e0d8d39fa6c l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=14d02ac70c3b l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=a656582c444b l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=fdac68e673d3 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=abd538ca9fd4 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=c1b3e5bd1fff l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=6b2b0d344798 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=59623f842f17 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=9dda3a111f8e l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=7928c71f29cf l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=1bd758e2a874 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=00f9fd816dc1 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=9a06920bb4d6 l=127.0.0.1:31415 r=130.215.220.199:61841
